Age,male,female,male(not Thai),female(not Thai),Times,total (Thai),total (not Thai),total
37,476926,476768,4898,5473,2022-05-31,953694,10371,964065
38,473821,474646,5141,5986,2022-05-31,948467,11127,959594
39,494641,498732,5420,6052,2022-05-31,993373,11472,1004845
40,506588,511626,5666,6310,2022-05-31,1018214,11976,1030190
41,503895,510882,5951,6601,2022-05-31,1014777,12552,1027329
42,507323,517698,5350,5723,2022-05-31,1025021,11073,1036094
43,498433,510238,6106,6525,2022-05-31,1008671,12631,1021302
44,492228,509686,5171,5190,2022-05-31,1001914,10361,1012275
45,516974,539561,5554,5777,2022-05-31,1056535,11331,1067866
46,489189,512857,5112,4985,2022-05-31,1002046,10097,1012143
47,500337,530135,4855,4816,2022-05-31,1030472,9671,1040143
48,492909,524543,5572,5321,2022-05-31,1017452,10893,1028345
49,483330,522997,5091,4702,2022-05-31,1006327,9793,1016120
50,497347,538739,4920,4489,2022-05-31,1036086,9409,1045495
51,507026,554413,5063,4813,2022-05-31,1061439,9876,1071315
52,479612,527980,4162,3812,2022-05-31,1007592,7974,1015566
53,482234,538312,5251,4693,2022-05-31,1020546,9944,1030490
54,488401,542273,4157,3339,2022-05-31,1030674,7496,1038170
55,450020,504863,4180,3576,2022-05-31,954883,7756,962639
56,464690,526766,4066,3217,2022-05-31,991456,7283,998739
57,454508,520365,3794,2954,2022-05-31,974873,6748,981621
58,431639,493014,4296,3383,2022-05-31,924653,7679,932332
59,414838,472446,3907,2880,2022-05-31,887284,6787,894071
60,406852,465398,3554,2556,2022-05-31,872250,6110,878360
61,378535,439375,3935,2913,2022-05-31,817910,6848,824758
62,379439,446048,3394,2188,2022-05-31,825487,5582,831069
63,347689,411001,3777,2809,2022-05-31,758690,6586,765276
64,319448,381524,3406,2166,2022-05-31,700972,5572,706544
65,300763,360113,3554,2347,2022-05-31,660876,5901,666777
66,288386,347256,3267,1916,2022-05-31,635642,5183,640825
67,278348,342284,3030,1690,2022-05-31,620632,4720,625352
68,251216,310193,3169,1837,2022-05-31,561409,5006,566415
69,243539,302043,2978,1507,2022-05-31,545582,4485,550067
70,227390,283882,2644,1316,2022-05-31,511272,3960,515232
71,210275,266165,2786,1480,2022-05-31,476440,4266,480706
72,200671,256687,2402,1087,2022-05-31,457358,3489,460847
73,178765,228685,2567,1260,2022-05-31,407450,3827,411277
74,156294,201737,2215,935,2022-05-31,358031,3150,361181
75,142490,187212,2102,998,2022-05-31,329702,3100,332802
76,122425,163239,1854,903,2022-05-31,285664,2757,288421
77,112359,150347,1750,817,2022-05-31,262706,2567,265273
78,106306,143068,1792,916,2022-05-31,249374,2708,252082
79,93317,130029,1478,851,2022-05-31,223346,2329,225675
80,93201,132153,1320,807,2022-05-31,225354,2127,227481
81,80580,116129,1283,871,2022-05-31,196709,2154,198863
82,72007,107445,1125,707,2022-05-31,179452,1832,181284
83,70091,104122,1074,886,2022-05-31,174213,1960,176173
84,60765,94504,906,708,2022-05-31,155269,1614,156883
85,52275,81974,808,657,2022-05-31,134249,1465,135714
86,46698,75557,799,686,2022-05-31,122255,1485,123740
87,38564,62064,726,506,2022-05-31,100628,1232,101860
88,33790,55963,662,508,2022-05-31,89753,1170,90923
89,27795,47215,623,421,2022-05-31,75010,1044,76054
90,23607,39715,624,415,2022-05-31,63322,1039,64361
91,18116,32009,623,405,2022-05-31,50125,1028,51153
92,15201,26253,627,389,2022-05-31,41454,1016,42470
93,11746,20526,601,338,2022-05-31,32272,939,33211
94,10363,17581,600,325,2022-05-31,27944,925,28869
95,7222,12233,453,315,2022-05-31,19455,768,20223
96,6130,9744,398,264,2022-05-31,15874,662,16536
97,4445,6686,389,231,2022-05-31,11131,620,11751
98,3739,5106,356,246,2022-05-31,8845,602,9447
99,3151,4060,360,231,2022-05-31,7211,591,7802
100,2698,3247,382,233,2022-05-31,5945,615,6560
101,10962,12279,2288,1135,2022-05-31,23241,3423,26664
0,248861,232760,6963,6563,2022-12-31,481621,13526,495147
1,273388,258041,6808,6226,2022-12-31,531429,13034,544463
2,293041,276076,7397,6860,2022-12-31,569117,14257,583374
3,305875,290056,9674,9136,2022-12-31,595931,18810,614741
4,322797,304773,18101,17164,2022-12-31,627570,35265,662835
5,339818,320057,22537,21061,2022-12-31,659875,43598,703473
6,342410,324006,22853,21358,2022-12-31,666416,44211,710627
7,354729,337056,24896,23505,2022-12-31,691785,48401,740186
8,376471,355760,24859,23393,2022-12-31,732231,48252,780483
9,384760,363035,22160,20967,2022-12-31,747795,43127,790922
10,411291,389010,14116,12996,2022-12-31,800301,27112,827413
11,402861,380465,9517,8981,2022-12-31,783326,18498,801824
12,388457,368085,7433,7094,2022-12-31,756542,14527,771069
13,400218,377834,5477,4968,2022-12-31,778052,10445,788497
14,402522,380497,4249,4042,2022-12-31,783019,8291,791310
15,410954,389103,3651,3471,2022-12-31,800057,7122,807179
16,407340,385094,3818,3508,2022-12-31,792434,7326,799760
17,411174,390978,3981,3832,2022-12-31,802152,7813,809965
18,415729,395735,5084,4901,2022-12-31,811464,9985,821449
19,404089,384066,5508,5235,2022-12-31,788155,10743,798898
20,405182,386238,5928,5665,2022-12-31,791420,11593,803013
21,406394,387807,6230,5922,2022-12-31,794201,12152,806353
22,427162,409948,6240,5969,2022-12-31,837110,12209,849319
23,426803,407863,6191,5880,2022-12-31,834666,12071,846737
24,454276,436925,6015,5528,2022-12-31,891201,11543,902744
25,491964,472713,6185,5724,2022-12-31,964677,11909,976586
26,502206,482839,6048,5646,2022-12-31,985045,11694,996739
27,495336,478887,5533,5360,2022-12-31,974223,10893,985116
28,478987,461908,5430,5264,2022-12-31,940895,10694,951589
29,480882,466589,5485,5420,2022-12-31,947471,10905,958376
30,487616,474231,5542,5565,2022-12-31,961847,11107,972954
31,484324,470784,5073,5137,2022-12-31,955108,10210,965318
32,476356,465975,5127,5333,2022-12-31,942331,10460,952791
33,456613,446726,4735,5178,2022-12-31,903339,9913,913252
34,445887,437560,4763,5219,2022-12-31,883447,9982,893429
35,441519,438088,5132,5447,2022-12-31,879607,10579,890186
36,455913,452979,5215,5775,2022-12-31,908892,10990,919882
37,472631,470992,4896,5584,2022-12-31,943623,10480,954103
38,473872,474638,5077,5745,2022-12-31,948510,10822,959332
39,483732,487488,5265,5957,2022-12-31,971220,11222,982442
40,499571,505397,5546,6312,2022-12-31,1004968,11858,1016826
41,498806,505556,5708,6418,2022-12-31,1004362,12126,1016488
42,508122,516309,5853,6377,2022-12-31,1024431,12230,1036661
43,506788,518995,5680,6014,2022-12-31,1025783,11694,1037477
44,487856,504012,5849,6144,2022-12-31,991868,11993,1003861
45,509988,530180,5385,5454,2022-12-31,1040168,10839,1051007
46,501338,525862,5421,5499,2022-12-31,1027200,10920,1038120
47,489765,516782,5156,5009,2022-12-31,1006547,10165,1016712
48,495968,527840,5065,4964,2022-12-31,1023808,10029,1033837
49,482712,518230,5440,5176,2022-12-31,1000942,10616,1011558
50,494646,536660,5135,4711,2022-12-31,1031306,9846,1041152
51,498754,546725,5002,4560,2022-12-31,1045479,9562,1055041
52,486955,534048,5013,4588,2022-12-31,1021003,9601,1030604
53,475288,528127,4363,3988,2022-12-31,1003415,8351,1011766
54,488955,546797,5107,4476,2022-12-31,1035752,9583,1045335
55,465878,520812,4315,3426,2022-12-31,986690,7741,994431
56,450840,511783,4204,3504,2022-12-31,962623,7708,970331
57,454656,517067,4177,3206,2022-12-31,971723,7383,979106
58,447979,515953,3973,3061,2022-12-31,963932,7034,970966
59,419421,480007,4231,3299,2022-12-31,899428,7530,906958
60,407072,466145,3993,2908,2022-12-31,873217,6901,880118
61,385290,445005,3666,2538,2022-12-31,830295,6204,836499
62,378687,446139,3954,2826,2022-12-31,824826,6780,831606
63,360072,424634,3566,2329,2022-12-31,784706,5895,790601
64,326300,390951,3789,2655,2022-12-31,717251,6444,723695
65,311831,375501,3608,2235,2022-12-31,687332,5843,693175
66,285810,341855,3536,2279,2022-12-31,627665,5815,633480
67,262702,319189,3297,1844,2022-12-31,581891,5141,587032
68,263825,327535,3048,1755,2022-12-31,591360,4803,596163
69,241333,301624,3179,1766,2022-12-31,542957,4945,547902
70,234195,292653,3007,1502,2022-12-31,526848,4509,531357
71,216419,273510,2652,1295,2022-12-31,489929,3947,493876
72,201917,258959,2803,1457,2022-12-31,460876,4260,465136
73,191851,248831,2429,1092,2022-12-31,440682,3521,444203
74,167876,217160,2481,1187,2022-12-31,385036,3668,388704
75,148422,194506,2178,963,2022-12-31,342928,3141,346069
76,132451,176282,1978,934,2022-12-31,308733,2912,311645
77,114986,155580,1779,868,2022-12-31,270566,2647,273213
78,107635,145190,1731,833,2022-12-31,252825,2564,255389
79,96899,134485,1634,856,2022-12-31,231384,2490,233874
80,89364,126001,1366,831,2022-12-31,215365,2197,217562
81,85348,123343,1268,797,2022-12-31,208691,2065,210756
82,71409,106485,1246,838,2022-12-31,177894,2084,179978
83,70145,104556,1072,710,2022-12-31,174701,1782,176483
84,63644,97325,980,849,2022-12-31,160969,1829,162798
85,54164,85802,832,654,2022-12-31,139966,1486,141452
86,47415,75845,723,634,2022-12-31,123260,1357,124617
87,40535,67209,776,666,2022-12-31,107744,1442,109186
88,34384,56417,678,479,2022-12-31,90801,1157,91958
89,29082,49703,606,482,2022-12-31,78785,1088,79873
90,24894,42155,590,396,2022-12-31,67049,986,68035
91,19509,33939,575,385,2022-12-31,53448,960,54408
92,15639,27249,588,385,2022-12-31,42888,973,43861
93,12653,22138,563,356,2022-12-31,34791,919,35710
94,10238,17677,590,320,2022-12-31,27915,910,28825
95,8523,14298,567,296,2022-12-31,22821,863,23684
96,6230,10117,399,286,2022-12-31,16347,685,17032
97,5034,7861,380,245,2022-12-31,12895,625,13520
98,3812,5359,376,203,2022-12-31,9171,579,9750
99,3397,4278,343,241,2022-12-31,7675,584,8259
100,2784,3376,348,198,2022-12-31,6160,546,6706
101,12518,13759,2591,1271,2022-12-31,26277,3862,30139
0,255861,239766,7961,7563,2023-05-31,495627,15524,511151
1,264124,248773,6880,6342,2023-05-31,512897,13222,526119
2,279766,264268,6968,6440,2023-05-31,544034,13408,557442
3,299469,283618,8628,8112,2023-05-31,583087,16740,599827
4,319778,302106,12875,12173,2023-05-31,621884,25048,646932
5,334314,314694,23820,22466,2023-05-31,649008,46286,695294
6,340358,321587,21429,19959,2023-05-31,661945,41388,703333
7,352516,335257,25083,23565,2023-05-31,687773,48648,736421
8,366502,346792,24590,23172,2023-05-31,713294,47762,761056
9,376388,355679,23831,22605,2023-05-31,732067,46436,778503
10,407245,384419,14480,13469,2023-05-31,791664,27949,819613
11,412028,388843,10431,9709,2023-05-31,800871,20140,821011
12,387085,367099,8467,8017,2023-05-31,754184,16484,770668
13,396386,374806,6157,5722,2023-05-31,771192,11879,783071
14,401366,379368,4878,4527,2023-05-31,780734,9405,790139
15,404647,383281,3814,3613,2023-05-31,787928,7427,795355
16,411182,388739,3899,3632,2023-05-31,799921,7531,807452
17,408247,386925,3987,3743,2023-05-31,795172,7730,802902
18,415201,395609,4615,4464,2023-05-31,810810,9079,819889
19,408551,388737,5544,5385,2023-05-31,797288,10929,808217
20,402301,383373,5833,5487,2023-05-31,785674,11320,796994
21,404018,385902,6298,5892,2023-05-31,789920,12190,802110
22,418231,400706,6276,6035,2023-05-31,818937,12311,831248
23,430124,411214,6178,5899,2023-05-31,841338,12077,853415
24,431586,414391,6314,5885,2023-05-31,845977,12199,858176
25,485079,466911,6075,5646,2023-05-31,951990,11721,963711
26,501031,482382,6363,5791,2023-05-31,983413,12154,995567
27,494094,476370,5578,5347,2023-05-31,970464,10925,981389
28,487557,469866,5419,5303,2023-05-31,957423,10722,968145
29,477373,463955,5508,5409,2023-05-31,941328,10917,952245
30,480030,465633,5666,5588,2023-05-31,945663,11254,956917
31,488166,475443,5176,5263,2023-05-31,963609,10439,974048
32,479684,467490,5281,5436,2023-05-31,947174,10717,957891
33,462930,453985,4767,5171,2023-05-31,916915,9938,926853
34,455095,446438,5002,5466,2023-05-31,901533,10468,912001
35,432367,427385,4901,5219,2023-05-31,859752,10120,869872
36,448237,445797,5472,5956,2023-05-31,894034,11428,905462
37,466063,464164,4980,5617,2023-05-31,930227,10597,940824
38,475126,476173,5017,5637,2023-05-31,951299,10654,961953
39,471978,474067,5271,6133,2023-05-31,946045,11404,957449
40,492429,497993,5539,6174,2023-05-31,990422,11713,1002135
41,504321,510772,5811,6454,2023-05-31,1015093,12265,1027358
42,501325,509955,6050,6717,2023-05-31,1011280,12767,1024047
43,504448,516696,5488,5809,2023-05-31,1021144,11297,1032441
44,495371,509163,6200,6626,2023-05-31,1004534,12826,1017360
45,489038,508467,5265,5290,2023-05-31,997505,10555,1008060
46,513339,538213,5643,5855,2023-05-31,1051552,11498,1063050
47,485562,511441,5190,5042,2023-05-31,997003,10232,1007235
48,496457,528585,4930,4860,2023-05-31,1025042,9790,1034832
49,488834,522920,5644,5380,2023-05-31,1011754,11024,1022778
50,479145,521337,5152,4741,2023-05-31,1000482,9893,1010375
51,492889,536801,5047,4538,2023-05-31,1029690,9585,1039275
52,502331,552214,5198,4865,2023-05-31,1054545,10063,1064608
53,474774,525717,4265,3870,2023-05-31,1000491,8135,1008626
54,477065,535916,5323,4714,2023-05-31,1012981,10037,1023018
55,482932,539686,4276,3377,2023-05-31,1022618,7653,1030271
56,444700,502246,4310,3609,2023-05-31,946946,7919,954865
57,458908,523845,4184,3273,2023-05-31,982753,7457,990210
58,448610,517297,3891,2993,2023-05-31,965907,6884,972791
59,425688,489906,4435,3415,2023-05-31,915594,7850,923444
60,408720,469227,4039,2920,2023-05-31,877947,6959,884906
61,400301,461989,3723,2602,2023-05-31,862290,6325,868615
62,372050,435786,4074,2908,2023-05-31,807836,6982,814818
63,372502,442150,3545,2213,2023-05-31,814652,5758,820410
64,341142,407024,3898,2817,2023-05-31,748166,6715,754881
65,312861,377548,3544,2179,2023-05-31,690409,5723,696132
66,294170,355893,3697,2370,2023-05-31,650063,6067,656130
67,281550,342770,3375,1912,2023-05-31,624320,5287,629607
68,271172,337440,3121,1692,2023-05-31,608612,4813,613425
69,244434,305410,3226,1824,2023-05-31,549844,5050,554894
70,236285,296829,3038,1508,2023-05-31,533114,4546,537660
71,220233,278441,2701,1319,2023-05-31,498674,4020,502694
72,202844,260667,2826,1461,2023-05-31,463511,4287,467798
73,193155,250614,2416,1075,2023-05-31,443769,3491,447260
74,171440,222898,2554,1246,2023-05-31,394338,3800,398138
75,149154,195926,2206,918,2023-05-31,345080,3124,348204
76,135626,181092,2090,980,2023-05-31,316718,3070,319788
77,115853,157227,1828,883,2023-05-31,273080,2711,275791
78,105868,144332,1702,787,2023-05-31,250200,2489,252689
79,99628,136788,1743,890,2023-05-31,236416,2633,239049
80,86875,123561,1427,827,2023-05-31,210436,2254,212690
81,86175,124998,1272,786,2023-05-31,211173,2058,213231
82,73972,109012,1241,835,2023-05-31,182984,2076,185060
83,65721,100050,1061,668,2023-05-31,165771,1729,167500
84,63382,96204,1020,844,2023-05-31,159586,1864,161450
85,54581,86442,861,674,2023-05-31,141023,1535,142558
86,46472,74311,753,627,2023-05-31,120783,1380,122163
87,41031,67797,736,650,2023-05-31,108828,1386,110214
88,33526,54991,675,470,2023-05-31,88517,1145,89662
89,29063,48794,614,477,2023-05-31,77857,1091,78948
90,23677,40678,560,394,2023-05-31,64355,954,65309
91,19920,33751,561,371,2023-05-31,53671,932,54603
92,15157,26713,566,362,2023-05-31,41870,928,42798
93,12629,21533,565,348,2023-05-31,34162,913,35075
94,9728,16712,549,298,2023-05-31,26440,847,27287
95,8561,14166,551,287,2023-05-31,22727,838,23565
96,6033,9646,422,282,2023-05-31,15679,704,16383
97,5164,7715,375,231,2023-05-31,12879,606,13485
98,3795,5193,368,197,2023-05-31,8988,565,9553
99,3287,4074,333,215,2023-05-31,7361,548,7909
100,2814,3292,345,207,2023-05-31,6106,552,6658
101,12826,13711,2605,1256,2023-05-31,26537,3861,30398
0,253419,239545,9017,8478,2023-12-31,492964,17495,510459
1,251774,235700,7469,7007,2023-12-31,487474,14476,501950
2,273768,258682,6895,6303,2023-12-31,532450,13198,545648
3,293468,276631,7447,6931,2023-12-31,570099,14378,584477
4,306190,290449,9685,9164,2023-12-31,596639,18849,615488
5,323063,305121,18146,17200,2023-12-31,628184,35346,663530
6,340082,320403,22572,21078,2023-12-31,660485,43650,704135
7,342697,324439,22855,21353,2023-12-31,667136,44208,711344
8,355006,337411,24904,23516,2023-12-31,692417,48420,740837
9,376668,356088,24943,23425,2023-12-31,732756,48368,781124
10,384845,363243,15957,15145,2023-12-31,748088,31102,779190
11,411422,389193,11883,11030,2023-12-31,800615,22913,823528
12,402915,380638,9678,9123,2023-12-31,783553,18801,802354
13,388468,368240,7551,7237,2023-12-31,756708,14788,771496
14,400106,377920,5595,5092,2023-12-31,778026,10687,788713
15,402306,380572,4417,4186,2023-12-31,782878,8603,791481
16,410700,389169,3817,3627,2023-12-31,799869,7444,807313
17,407013,385123,3945,3603,2023-12-31,792136,7548,799684
18,410822,390987,4062,3947,2023-12-31,801809,8009,809818
19,415342,395746,5166,4989,2023-12-31,811088,10155,821243
20,403643,384058,5615,5340,2023-12-31,787701,10955,798656
21,404756,386222,5999,5731,2023-12-31,790978,11730,802708
22,405961,387782,6239,5900,2023-12-31,793743,12139,805882
23,426633,409932,6223,5953,2023-12-31,836565,12176,848741
24,426179,407814,6184,5852,2023-12-31,833993,12036,846029
25,453623,436902,5940,5492,2023-12-31,890525,11432,901957
26,491197,472649,6152,5671,2023-12-31,963846,11823,975669
27,501465,482698,5988,5616,2023-12-31,984163,11604,995767
28,494468,478733,5493,5345,2023-12-31,973201,10838,984039
29,478092,461779,5395,5260,2023-12-31,939871,10655,950526
30,479991,466384,5497,5436,2023-12-31,946375,10933,957308
31,486559,474034,5565,5604,2023-12-31,960593,11169,971762
32,483136,470490,5098,5199,2023-12-31,953626,10297,963923
33,475064,465626,5194,5411,2023-12-31,940690,10605,951295
34,455374,446389,4813,5255,2023-12-31,901763,10068,911831
35,444605,437211,4840,5295,2023-12-31,881816,10135,891951
36,440103,437665,5222,5540,2023-12-31,877768,10762,888530
37,454501,452485,5297,5832,2023-12-31,906986,11129,918115
38,471004,470443,4964,5667,2023-12-31,941447,10631,952078
39,472116,474038,5163,5830,2023-12-31,946154,10993,957147
40,481777,486814,5357,5996,2023-12-31,968591,11353,979944
41,497412,504629,5625,6358,2023-12-31,1002041,11983,1014024
42,496504,504743,5778,6471,2023-12-31,1001247,12249,1013496
43,505424,515331,5939,6448,2023-12-31,1020755,12387,1033142
44,503963,517933,5768,6064,2023-12-31,1021896,11832,1033728
45,484768,502902,5920,6183,2023-12-31,987670,12103,999773
46,506600,528948,5429,5504,2023-12-31,1035548,10933,1046481
47,497766,524489,5468,5522,2023-12-31,1022255,10990,1033245
48,486053,515356,5216,5030,2023-12-31,1001409,10246,1011655
49,492083,526264,5114,4970,2023-12-31,1018347,10084,1028431
50,478649,516555,5495,5188,2023-12-31,995204,10683,1005887
51,490270,534732,5182,4733,2023-12-31,1025002,9915,1034917
52,494302,544663,5100,4568,2023-12-31,1038965,9668,1048633
53,482431,531911,5102,4610,2023-12-31,1014342,9712,1024054
54,470406,525925,4429,4003,2023-12-31,996331,8432,1004763
55,483765,544302,5183,4465,2023-12-31,1028067,9648,1037715
56,460591,518221,4423,3443,2023-12-31,978812,7866,986678
57,445516,509108,4308,3505,2023-12-31,954624,7813,962437
58,448874,514191,4274,3226,2023-12-31,963065,7500,970565
59,442030,512882,4086,3076,2023-12-31,954912,7162,962074
60,413584,476866,4382,3304,2023-12-31,890450,7686,898136
61,400940,462871,4153,2913,2023-12-31,863811,7066,870877
62,379095,441687,3830,2545,2023-12-31,820782,6375,827157
63,372203,442436,4080,2826,2023-12-31,814639,6906,821545
64,353324,420778,3742,2338,2023-12-31,774102,6080,780182
65,319825,386996,3931,2653,2023-12-31,706821,6584,713405
66,305245,371428,3723,2235,2023-12-31,676673,5958,682631
67,279404,337834,3642,2276,2023-12-31,617238,5918,623156
68,256405,314985,3406,1825,2023-12-31,571390,5231,576621
69,256926,322907,3117,1736,2023-12-31,579833,4853,584686
70,234677,296703,3228,1752,2023-12-31,531380,4980,536360
71,227082,287345,3043,1488,2023-12-31,514427,4531,518958
72,209444,268110,2678,1277,2023-12-31,477554,3955,481509
73,194719,253289,2833,1434,2023-12-31,448008,4267,452275
74,184419,242877,2437,1066,2023-12-31,427296,3503,430799
75,160814,211460,2467,1166,2023-12-31,372274,3633,375907
76,141797,188687,2155,942,2023-12-31,330484,3097,333581
77,125975,170261,1973,911,2023-12-31,296236,2884,299120
78,108766,149796,1746,841,2023-12-31,258562,2587,261149
79,101325,139227,1700,802,2023-12-31,240552,2502,243054
80,90791,128372,1584,826,2023-12-31,219163,2410,221573
81,83220,119565,1333,806,2023-12-31,202785,2139,204924
82,78793,116565,1221,771,2023-12-31,195358,1992,197350
83,65583,99875,1183,799,2023-12-31,165458,1982,167440
84,63942,97376,1028,677,2023-12-31,161318,1705,163023
85,57555,89767,923,797,2023-12-31,147322,1720,149042
86,48500,78506,792,606,2023-12-31,127006,1398,128404
87,42128,68638,679,594,2023-12-31,110766,1273,112039
88,35804,60280,727,616,2023-12-31,96084,1343,97427
89,30010,49919,629,447,2023-12-31,79929,1076,81005
90,25185,43377,556,451,2023-12-31,68562,1007,69569
91,21281,36337,552,368,2023-12-31,57618,920,58538
92,16605,28915,519,348,2023-12-31,45520,867,46387
93,13260,22894,538,348,2023-12-31,36154,886,37040
94,10690,18365,517,319,2023-12-31,29055,836,29891
95,8605,14551,552,291,2023-12-31,23156,843,23999
96,7177,11633,526,269,2023-12-31,18810,795,19605
97,5336,8175,370,257,2023-12-31,13511,627,14138
98,4399,6334,361,209,2023-12-31,10733,570,11303
99,3337,4340,357,178,2023-12-31,7677,535,8212
100,3072,3498,329,216,2023-12-31,6570,545,7115
101,14520,15317,2881,1367,2023-12-31,29837,4248,34085
0,243913,229847,9134,8508,2024-05-31,473760,17642,491402
1,258484,242319,8461,7976,2024-05-31,500803,16437,517240
2,264385,249216,6971,6416,2024-05-31,513601,13387,526988
3,280036,264706,7041,6506,2024-05-31,544742,13547,558289
4,299753,283968,8656,8173,2024-05-31,583721,16829,600550
5,319974,302419,12943,12271,2024-05-31,622393,25214,647607
6,334601,315074,23888,22520,2024-05-31,649675,46408,696083
7,340667,321967,21477,20037,2024-05-31,662634,41514,704148
8,352802,335636,25115,23603,2024-05-31,688438,48718,737156
9,366765,347112,24708,23253,2024-05-31,713877,47961,761838
10,376486,355889,16793,15871,2024-05-31,732375,32664,765039
11,407371,384634,12440,11688,2024-05-31,792005,24128,816133
12,412131,389003,10585,9937,2024-05-31,801134,20522,821656
13,387121,367248,8586,8141,2024-05-31,754369,16727,771096
14,396313,374896,6251,5858,2024-05-31,771209,12109,783318
15,401128,379458,4981,4605,2024-05-31,780586,9586,790172
16,404390,383378,3928,3701,2024-05-31,787768,7629,795397
17,410869,388845,3979,3715,2024-05-31,799714,7694,807408
18,407920,386958,4028,3801,2024-05-31,794878,7829,802707
19,414805,395608,4669,4540,2024-05-31,810413,9209,819622
20,408135,388740,5565,5437,2024-05-31,796875,11002,807877
21,401845,383332,5854,5500,2024-05-31,785177,11354,796531
22,403558,385894,6297,5869,2024-05-31,789452,12166,801618
23,417721,400653,6205,5985,2024-05-31,818374,12190,830564
24,429517,411153,6146,5863,2024-05-31,840670,12009,852679
25,430948,414346,6231,5815,2024-05-31,845294,12046,857340
26,484309,466836,6011,5576,2024-05-31,951145,11587,962732
27,500176,482236,6291,5718,2024-05-31,982412,12009,994421
28,493277,476200,5498,5337,2024-05-31,969477,10835,980312
29,486625,469714,5354,5267,2024-05-31,956339,10621,966960
30,476417,463814,5475,5393,2024-05-31,940231,10868,951099
31,479082,465387,5636,5625,2024-05-31,944469,11261,955730
32,486993,475138,5167,5279,2024-05-31,962131,10446,972577
33,478420,467125,5274,5480,2024-05-31,945545,10754,956299
34,461722,453634,4805,5216,2024-05-31,915356,10021,925377
35,453719,446050,5030,5514,2024-05-31,899769,10544,910313
36,431015,426954,4956,5292,2024-05-31,857969,10248,868217
37,446816,445324,5510,5968,2024-05-31,892140,11478,903618
38,464482,463596,5010,5659,2024-05-31,928078,10669,938747
39,473318,475561,5070,5693,2024-05-31,948879,10763,959642
40,470070,473353,5328,6176,2024-05-31,943423,11504,954927
41,490262,497251,5590,6205,2024-05-31,987513,11795,999308
42,501998,509864,5858,6477,2024-05-31,1011862,12335,1024197
43,498668,509008,6113,6755,2024-05-31,1007676,12868,1020544
44,501533,515701,5546,5845,2024-05-31,1017234,11391,1028625
45,492419,508034,6238,6637,2024-05-31,1000453,12875,1013328
46,485684,507248,5323,5324,2024-05-31,992932,10647,1003579
47,509819,536800,5681,5863,2024-05-31,1046619,11544,1058163
48,481979,510019,5228,5065,2024-05-31,991998,10293,1002291
49,492492,527013,4980,4863,2024-05-31,1019505,9843,1029348
50,484726,521212,5708,5381,2024-05-31,1005938,11089,1017027
51,474897,519497,5223,4761,2024-05-31,994394,9984,1004378
52,488427,534747,5090,4550,2024-05-31,1023174,9640,1032814
53,497648,550016,5268,4875,2024-05-31,1047664,10143,1057807
54,470019,523522,4346,3869,2024-05-31,993541,8215,1001756
55,471951,533450,5369,4695,2024-05-31,1005401,10064,1015465
56,477622,537129,4384,3387,2024-05-31,1014751,7771,1022522
57,439580,499598,4418,3609,2024-05-31,939178,8027,947205
58,453210,520949,4304,3262,2024-05-31,974159,7566,981725
59,442507,514131,4035,2997,2024-05-31,956638,7032,963670
60,419664,486708,4559,3404,2024-05-31,906372,7963,914335
61,402561,465835,4192,2921,2024-05-31,868396,7113,875509
62,393886,458574,3928,2597,2024-05-31,852460,6525,858985
63,365716,432087,4202,2889,2024-05-31,797803,7091,804894
64,365511,438143,3725,2200,2024-05-31,803654,5925,809579
65,334546,402947,4036,2814,2024-05-31,737493,6850,744343
66,306244,373463,3685,2169,2024-05-31,679707,5854,685561
67,287570,351789,3803,2337,2024-05-31,639359,6140,645499
68,274889,338295,3512,1902,2024-05-31,613184,5414,618598
69,264095,332512,3204,1660,2024-05-31,596607,4864,601471
70,237653,300493,3276,1811,2024-05-31,538146,5087,543233
71,228993,291455,3082,1480,2024-05-31,520448,4562,525010
72,212942,272883,2744,1285,2024-05-31,485825,4029,489854
73,195550,254873,2840,1426,2024-05-31,450423,4266,454689
74,185690,244342,2439,1053,2024-05-31,430032,3492,433524
75,164133,216971,2548,1214,2024-05-31,381104,3762,384866
76,142414,190042,2201,906,2024-05-31,332456,3107,335563
77,128855,174923,2083,951,2024-05-31,303778,3034,306812
78,109509,151244,1787,840,2024-05-31,260753,2627,263380
79,99545,138279,1672,768,2024-05-31,237824,2440,240264
80,93213,130413,1703,854,2024-05-31,223626,2557,226183
81,80832,117111,1395,802,2024-05-31,197943,2197,200140
82,79615,117904,1223,747,2024-05-31,197519,1970,199489
83,67911,102171,1184,792,2024-05-31,170082,1976,172058
84,59801,92912,1009,635,2024-05-31,152713,1644,154357
85,57310,88592,961,801,2024-05-31,145902,1762,147664
86,48904,79091,813,619,2024-05-31,127995,1432,129427
87,41307,67077,707,576,2024-05-31,108384,1283,109667
88,36123,60621,690,595,2024-05-31,96744,1285,98029
89,29385,48522,639,448,2024-05-31,77907,1087,78994
90,25124,42555,563,442,2024-05-31,67679,1005,68684
91,20294,34925,530,363,2024-05-31,55219,893,56112
92,16972,28680,517,343,2024-05-31,45652,860,46512
93,12872,22401,518,323,2024-05-31,35273,841,36114
94,10649,17744,524,310,2024-05-31,28393,834,29227
95,8210,13752,515,262,2024-05-31,21962,777,22739
96,7181,11464,521,258,2024-05-31,18645,779,19424
97,5174,7844,394,259,2024-05-31,13018,653,13671
